,name,scientificName,genus,decimalLongitude,decimalLatitude,country
1,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,-9.66488,29.98914,Morocco
2,Mauremys caspica,"Mauremys caspica Gmelin, 1774",Mauremys,-4.45703,36.67048,Spain
3,Mauremys caspica,"Mauremys caspica Gmelin, 1774",Mauremys,-4.45703,36.67048,Spain
4,Mauremys,"Mauremys Gray, 1869",Mauremys,-8.48651,37.16182,Portugal
5,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,-2.15719,37.09456,Spain
6,Mauremys rivulata,"Mauremys rivulata Valenciennes, 1833",Mauremys,26.22265,39.22161,Greece
7,Mauremys rivulata,"Mauremys rivulata Valenciennes, 1833",Mauremys,26.19514,39.21117,Greece
8,Mauremys rivulata,"Mauremys rivulata Valenciennes, 1833",Mauremys,26.18952,39.22594,Greece
9,Mauremys rivulata,"Mauremys rivulata Valenciennes, 1833",Mauremys,26.16188,39.21603,Greece
10,Mauremys rivulata,"Mauremys rivulata Valenciennes, 1833",Mauremys,25.33185,35.33423,Greece
11,Mauremys rivulata,"Mauremys rivulata Valenciennes, 1833",Mauremys,25.33791,35.32262,Greece
12,Mauremys rivulata,"Mauremys rivulata Valenciennes, 1833",Mauremys,25.05872,35.33832,Greece
13,Mauremys rivulata,"Mauremys rivulata Valenciennes, 1833",Mauremys,26.18952,39.22594,Greece
14,Mauremys rivulata,"Mauremys rivulata Valenciennes, 1833",Mauremys,26.193,39.05867,Greece
15,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,2.89845,42.34424,Spain
16,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,3.10982,42.21784,Spain
17,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,-8.14319,37.09193,Portugal
18,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,-7.813,37.03247,Portugal
19,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,3.10969,42.14225,Spain
20,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,-5.79906,39.47065,Spain
21,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,-7.95616,37.67023,Portugal
22,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,-4.6279,37.46028,Spain
23,Mauremys leprosa,"Mauremys leprosa Schweigger, 1812",Mauremys,-6.54649,37.14482,Spain
24,Mauremys rivulata,"Mauremys rivulata Valenciennes, 1833",Mauremys,24.74155,40.85667,Greece
25,Mauremys caspica,"Mauremys caspica Gmelin, 1774",Mauremys,43.64746,38.69717,Turkey
26,Mauremys caspica,"Mauremys caspica Gmelin, 1774",Mauremys,44.2828,39.91948,Turkey
27,Mauremys caspica,"Mauremys caspica Gmelin, 1774",Mauremys,43.32802,38.49847,Turkey
28,Mauremys caspica,"Mauremys caspica Gmelin, 1774",Mauremys,43.75681,39.05724,Turkey
