,name,scientificName,genus,decimalLongitude,decimalLatitude,country
1,Kinixys natalensis,"Kinixys natalensis Hewitt, 1935",Kinixys,31.79826,-28.25484,South Africa
2,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,35.206,-18.045,Mozambique
3,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,31.12589,-25.61495,South Africa
4,Kinixys,"Kinixys Bell, 1827",Kinixys,13.69606,7.13354,Cameroon
5,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,2.1666,6.9166,Benin
6,Kinixys homeana,"Kinixys homeana Bell, 1827",Kinixys,2.1666,6.9166,Benin
7,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,2.1666,6.9166,Benin
8,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,31.87376,-26.25307,Swaziland
9,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,30.20657,-12.55071,Zambia
10,Kinixys belliana,Kinixys belliana subsp. belliana,Kinixys,35.23281,-18.04664,Mozambique
11,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,10.15758,2.14106,Equatorial Guinea
12,Kinixys,"Kinixys Bell, 1827",Kinixys,10.05225,1.85437,Equatorial Guinea
13,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,35.18293,-12.86946,Mozambique
14,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,35.18503,-12.86745,Mozambique
15,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,35.18293,-12.86946,Mozambique
16,Kinixys homeana,"Kinixys homeana Bell, 1827",Kinixys,NA,NA,United States
17,Kinixys homeana,"Kinixys homeana Bell, 1827",Kinixys,-8.18883,5.57057,Liberia
18,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,30.60682,-1.55188,Rwanda
19,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,21.58264,-18.11141,Namibia
20,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,31.63822,-13.90241,Zambia
21,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,NA,NA,South Africa
22,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,NA,NA,South Africa
23,Kinixys belliana,Kinixys belliana subsp. belliana,Kinixys,NA,NA,South Africa
24,Kinixys belliana,Kinixys belliana subsp. belliana,Kinixys,NA,NA,South Africa
25,Kinixys belliana,Kinixys belliana subsp. belliana,Kinixys,NA,NA,South Africa
26,Kinixys belliana,Kinixys belliana subsp. belliana,Kinixys,NA,NA,South Africa
27,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,NA,NA,South Africa
28,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,NA,NA,South Africa
29,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,NA,NA,South Africa
30,Kinixys lobatsiana,"Kinixys lobatsiana Power, 1927",Kinixys,NA,NA,South Africa
31,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,NA,NA,South Africa
32,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,NA,NA,South Africa
33,Kinixys spekii,"Kinixys spekii Gray, 1863",Kinixys,NA,NA,South Africa
34,Kinixys belliana,Kinixys belliana subsp. belliana,Kinixys,NA,NA,South Africa
35,Kinixys homeana,"Kinixys homeana Bell, 1827",Kinixys,-9.736,8.032,Liberia
36,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,-7.732,5.403,Liberia
37,Kinixys belliana,Kinixys belliana subsp. belliana,Kinixys,NA,NA,South Africa
38,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,23.431,1.294,The Democratic Republic of the Congo
39,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,23.431,1.294,The Democratic Republic of the Congo
40,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,NA,NA,Ghana
41,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,NA,NA,Ghana
42,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,-2.4,5.2,Ghana
43,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,-8.573,8.139,Guinea
44,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,-8.212,7.604,Guinea
45,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,-8.933,7.533,Guinea
46,Kinixys lobatsiana,"Kinixys lobatsiana Power, 1927",Kinixys,NA,NA,NA
47,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
48,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
49,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
50,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
51,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
52,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
53,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
54,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
55,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
56,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,-7.316,4.9,C<U+00F4>te d'Ivoire
57,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
58,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
59,Kinixys,"Kinixys Bell, 1827",Kinixys,NA,NA,United States
60,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,10.3883,1.5717,Equatorial Guinea
61,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,10.26667,0.63333,Gabon
62,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,10.31667,0.56667,Gabon
63,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
64,Kinixys erosa,"Kinixys erosa Schweigger, 1812",Kinixys,0,0,Congo
65,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
66,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
67,Kinixys belliana,"Kinixys belliana Gray, 1831",Kinixys,NA,NA,NA
68,Kinixys natalensis,"Kinixys natalensis Hewitt, 1935",Kinixys,NA,NA,NA
