"","name","scientificName","genus","species","decimalLongitude","decimalLatitude","country"
"84","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"85","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",21.60049,-22.40024,"Botswana"
"86","Psammobates tentorius","Psammobates tentorius subsp. tentorius","Psammobates","Psammobates tentorius",NA,NA,"South Africa"
"87","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"88","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"89","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",29.48149,-23.97712,"South Africa"
"90","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"91","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"92","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",21.66514,-21.73646,"Botswana"
"93","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",21.66083,-21.74092,"Botswana"
"94","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"95","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",21.66489,-21.73642,"Botswana"
"96","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"97","Psammobates tentorius","Psammobates tentorius subsp. tentorius","Psammobates","Psammobates tentorius",NA,NA,"South Africa"
"98","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"99","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"100","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"101","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.6172,-25.16298,"South Africa"
"102","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",36.08322,-0.35019,"Kenya"
"103","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",35.10313,-1.90696,"Tanzania, United Republic of"
"104","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",16.7981,-18.8725,"Namibia"
"105","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"106","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",43.146,9.9705,"Somalia"
"107","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",43.146,9.9705,"Somalia"
"108","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"109","Psammobates geometricus","Psammobates geometricus Linnaeus, 1758","Psammobates","Psammobates geometricus",NA,NA,NA
"110","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"111","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"112","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"113","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
