,name,scientificName,genus,decimalLongitude,decimalLatitude,country
1,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,153.047,-30.8698,Australia
2,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,39.3697,-4.71917,Kenya
3,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-80.0845,26.9485,United States
4,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-86.9587,20.5156,Mexico
5,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-87.0073,20.4341,Mexico
6,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-87.0184,20.3076,Mexico
7,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-87.0261,20.3375,Mexico
8,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-87.0255,20.381,Mexico
9,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-68.2766,12.1378,unknown or invalid
10,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-80.0716,26.1993,United States
11,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-79.9839,26.8761,United States
12,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,153.267,-30.2021,Australia
13,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-86.8506,21.1469,Mexico
14,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,114.191,-21.8166,Australia
15,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,56.3723,25.8339,Oman
16,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-80.0473,26.7513,United States
17,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-77.3963,25.0343,Bahamas
18,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-77.3963,25.0343,Bahamas
19,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-87.2391,20.4795,Mexico
20,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-69.0857,12.2187,unknown or invalid
21,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-68.6456,11.9876,unknown or invalid
22,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-74.7092,46.2941,Canada
23,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-69.1506,12.318,unknown or invalid
24,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-69.1506,12.318,unknown or invalid
25,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-76.9745,34.5357,United States
26,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,56.3659,25.4819,United Arab Emirates
27,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-76.3141,34.6069,United States
28,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-76.3141,34.6069,United States
29,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-76.726,34.7229,United States
30,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-76.726,34.7229,United States
31,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-86.9081,20.431,Mexico
32,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-86.9081,20.431,Mexico
33,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.06681,2.10014,C<U+00F4>te d'Ivoire
34,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.06681,2.10014,C<U+00F4>te d'Ivoire
35,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
36,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
37,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.06681,2.10014,C<U+00F4>te d'Ivoire
38,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
39,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
40,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
41,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
42,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
43,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
44,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
45,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
46,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.06681,2.10014,C<U+00F4>te d'Ivoire
47,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.06681,2.10014,C<U+00F4>te d'Ivoire
48,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.41681,1.96681,C<U+00F4>te d'Ivoire
49,Caretta caretta,"Caretta caretta Linnaeus, 1758",Caretta,-5.06681,2.10014,C<U+00F4>te d'Ivoire
