,name,scientificName,genus,decimalLongitude,decimalLatitude,country
1,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-68.36195,7.23833,"Venezuela, Bolivarian Republic of"
2,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
3,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,NA,NA,NA
4,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,NA,NA,NA
5,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,NA,NA,NA
6,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-59.8,3.383,Guyana
7,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
8,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,"Bolivia, Plurinational State of"
9,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-68.809,8.95,"Venezuela, Bolivarian Republic of"
10,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
11,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
12,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
13,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
14,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,unknown or invalid
15,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
16,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
17,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Colombia
18,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Colombia
19,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Colombia
20,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
21,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,United States
22,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Colombia
23,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Peru
24,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
25,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
26,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
27,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
28,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-76.96667,0.05,Ecuador
29,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-76.96667,0.05,Ecuador
30,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,NA,NA,NA
31,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-76.96667,0.05,Ecuador
32,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Peru
33,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
34,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,"Venezuela, Bolivarian Republic of"
35,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
36,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Colombia
37,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,NA,NA,Colombia
38,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,NA,NA,NA
39,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,-63.5,6.33333,"Venezuela, Bolivarian Republic of"
40,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-80.17477,25.98787,United States
41,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,NA,NA,NA
42,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Colombia
43,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Colombia
44,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,NA,NA,Colombia
45,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Colombia
46,Chelus,"Chelus Dum<U+00E9>ril, 1806",Chelus,NA,NA,Colombia
47,Chelus,"Chelus Dum<U+00E9>ril, 1806",Chelus,NA,NA,Colombia
48,Chelus,"Chelus Dum<U+00E9>ril, 1806",Chelus,NA,NA,Colombia
49,Chelus,"Chelus Dum<U+00E9>ril, 1806",Chelus,NA,NA,Colombia
50,Chelus,"Chelus Dum<U+00E9>ril, 1806",Chelus,NA,NA,Colombia
51,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,NA,NA,Colombia
52,Chelus fimbriatus,"Chelus fimbriata Iverson, 1992",Chelus,NA,NA,"Venezuela, Bolivarian Republic of"
53,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Peru
54,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Brazil
55,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Brazil
56,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
57,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Peru
58,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
59,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
60,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
61,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
62,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Brazil
63,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-66.17333,7.64556,"Venezuela, Bolivarian Republic of"
64,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
65,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
66,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-66.16667,6.4,"Venezuela, Bolivarian Republic of"
67,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,Suriname
68,Chelus fimbriatus,"Chelys fimbriata G<U+00FC>nther, 1882",Chelus,-48.4864,-1.4478,Brazil
69,Chelus fimbriatus,"Chelys fimbriata G<U+00FC>nther, 1882",Chelus,NA,NA,Brazil
70,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-64.83333,-3.2,Brazil
71,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,-64.83333,-3.2,Brazil
72,Chelus fimbriatus,"Chelus fimbriatus Schneider, 1783",Chelus,NA,NA,NA
