,name,scientificName,genus,decimalLongitude,decimalLatitude,country
1,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,33.58254,-16.07479,Mozambique
2,Pelusios niger,"Pelusios niger Dum<U+00E9>ril & Bibron, 1835",Pelusios,2.1,6.3166,Benin
3,Pelusios castaneus,"Pelusios castaneus Schweigger, 1812",Pelusios,1.8336,6.2836,Benin
4,Pelusios castaneus,"Pelusios castaneus Schweigger, 1812",Pelusios,6.70167,0.19725,Sao Tome and Principe
5,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,NA,NA,United States
6,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,27.35908,-17.5865,Zimbabwe
7,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,31.76047,-25.0856,South Africa
8,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,NA,NA,South Africa
9,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,NA,NA,South Africa
10,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,NA,NA,South Africa
11,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,NA,NA,South Africa
12,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,NA,NA,South Africa
13,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,NA,NA,South Africa
14,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,NA,NA,South Africa
15,Pelusios castanoides,"Pelusios castanoides Hewitt, 1931",Pelusios,33.43657,-9.81322,Malawi
16,Pelusios castanoides,"Pelusios castanoides Hewitt, 1931",Pelusios,33.43657,-9.81322,Malawi
17,Pelusios castaneus,"Pelusios castaneus Schweigger, 1812",Pelusios,-14.45,10.754,Guinea
18,Pelusios castaneus,"Pelusios castaneus Schweigger, 1812",Pelusios,-1.84466,9.37439,Ghana
19,Pelusios sinuatus,"Pelusios sinuatus Smith, 1838",Pelusios,31.4209,-24.04646,South Africa
20,Pelusios niger,"Pelusios niger Dum<U+00E9>ril & Bibron, 1835",Pelusios,7.75482,4.70372,Nigeria
21,Pelusios,"Pelusios Wagler, 1830",Pelusios,-13.0665,8.32667,Sierra Leone
22,Pelusios,"Pelusios Wagler, 1830",Pelusios,-13.0665,8.32667,Sierra Leone
23,Pelusios,"Pelusios Wagler, 1830",Pelusios,-12.21267,8.35467,Sierra Leone
