,name,scientificName,genus,decimalLongitude,decimalLatitude,country
1,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,8.96046,49.72985,Germany
2,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,8.96046,49.72985,Germany
3,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,26.19669,39.31759,Greece
4,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,3.2347,39.72673,Spain
5,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,30.54682,36.52731,Turkey
6,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,25.93715,39.23144,Greece
7,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,13.10315,45.60317,Italy
8,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,3.18398,39.74079,Spain
9,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,21.19331,42.67915,NA
10,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,25.64127,41.59568,Bulgaria
11,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,25.87555,41.65041,Bulgaria
12,Testudo,"Testudo Linnaeus, 1758",Testudo,19.25217,41.92438,Montenegro
13,Testudo horsfieldii,"Testudo horsfieldii Gray, 1844",Testudo,-97.36354,32.84438,United States
14,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,10.6616,43.1295,Italy
15,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,10.6616,43.1295,Italy
16,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,2.05309,41.31275,Spain
17,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,30.40487,36.45873,Turkey
18,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,21.20739,42.676,NA
19,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,24.74155,40.85667,Greece
20,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,8.25952,40.76109,Italy
21,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,25.01776,40.97795,Greece
22,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,20.58941,42.52614,NA
23,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,8.96046,49.72985,Germany
24,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,21.27897,42.69714,NA
25,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,21.2728,42.6249,NA
26,Testudo marginata,"Testudo marginata Schoepff, 1792",Testudo,24.02501,37.65072,Greece
27,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,21.19331,42.67915,NA
28,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,3.17471,39.74944,Spain
29,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,21.19331,42.67915,NA
30,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,42.22527,38.62814,Turkey
31,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,20.98011,42.51273,NA
32,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,21.19331,42.67915,NA
33,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,25.3149,40.98683,Greece
34,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,43.00306,38.9084,Turkey
35,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,24.71323,41.01158,Greece
36,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,24.74018,41.10471,Greece
37,Testudo graeca,"Testudo graeca ibera Pallas, 1814",Testudo,29.00968,40.23864,Turkey
38,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,4.09752,40.0312,Spain
39,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,4.09752,40.0312,Spain
40,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,26.20377,41.11868,Greece
41,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,25.3149,40.98683,Greece
42,Testudo horsfieldii,"Testudo horsfieldii Gray, 1844",Testudo,65.12679,39.30854,Uzbekistan
43,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,45.11355,36.71267,"Iran, Islamic Republic of"
44,Testudo graeca,"Testudo graeca Linnaeus, 1758",Testudo,8.56013,40.08694,Italy
45,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,-5.10796,33.51965,Morocco
46,Testudo hermanni,"Testudo hermanni Gmelin, 1789",Testudo,10.12081,48.78725,Germany
