,name,scientificName,genus,decimalLongitude,decimalLatitude,country
1,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,98.8956,7.42953,Thailand
2,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,153.047,-30.8698,Australia
3,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,33.8833,27.7833,Egypt
4,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,-65.22628,18.24937,Puerto Rico
5,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,134.25296,7.3692,Palau
6,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,134.22333,7.3402,Palau
7,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,134.19135,7.19186,Palau
8,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,134.2905,7.00886,Palau
9,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,-86.7518,21.1446,Mexico
10,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,120.976,13.5248,Philippines
11,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,127.363,26.2265,Japan
12,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,73.5109,2.83641,Maldives
13,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,-41.8253,-22.7735,Brazil
14,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,-41.8253,-22.7735,Brazil
15,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,119.57541,-8.51598,Indonesia
16,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,-105.42308,20.7812,Mexico
17,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,124.768,1.60985,Indonesia
18,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,124.768,1.59622,Indonesia
19,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,124.766,1.60757,Indonesia
20,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,124.748,1.61688,Indonesia
21,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,-86.7369,21.1275,Mexico
22,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,-79.8389,19.7127,Cayman Islands
23,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,99.8553,10.1014,Thailand
24,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,119.35,-8.4,Indonesia
25,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,119.35,-8.4,Indonesia
26,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,34.5197,28.4991,Egypt
27,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,-68.9451,12.1045,unknown or invalid
28,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,-68.9451,12.1045,unknown or invalid
29,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,99.8089,10.1087,Thailand
30,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,99.8158,10.1012,Thailand
31,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,35.94267,23.42569,Egypt
32,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,-81.3918,19.3462,Cayman Islands
33,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,73.4566,4.12766,Maldives
34,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,124.765,1.60122,Indonesia
35,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,73.4346,4.124,Maldives
36,Eretmochelys imbricata,"Eretmochelys imbricata (Linnaeus, 1766)",Eretmochelys,147.622,-19.3045,Australia
