,name,scientificName,genus,decimalLongitude,decimalLatitude,country
1,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-82.75377,9.65582,Costa Rica
2,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.84467,11.01399,Costa Rica
3,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-84.5631,9.89012,Costa Rica
4,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-106.38686,23.35129,Mexico
5,Rhinoclemmys,"Rhinoclemmys Fitzinger, 1835",Rhinoclemmys,-106.61212,23.75265,Mexico
6,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,-83.53775,10.54358,Costa Rica
7,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-83.41775,10.5287,Costa Rica
8,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-105.50497,22.3412,Mexico
9,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-84.97075,10.13754,Costa Rica
10,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-105.46149,20.52119,Mexico
11,Rhinoclemmys areolata,"Rhinoclemmys areolata Dum<U+00E9>ril, Bibron & Dum<U+00E9>ril, 1851",Rhinoclemmys,-87.02183,20.77842,Mexico
12,Rhinoclemmys nasuta,"Rhinoclemmys nasuta Boulenger, 1902",Rhinoclemmys,-77.38137,3.91933,Colombia
13,Rhinoclemmys melanosterna,"Rhinoclemmys melanosterna Gray, 1861",Rhinoclemmys,-73.77222,7.49889,Colombia
14,Rhinoclemmys melanosterna,"Rhinoclemmys melanosterna Gray, 1861",Rhinoclemmys,-73.76833,7.4325,Colombia
15,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-87.7025,13.3147,Honduras
16,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-87.64711,13.29428,Honduras
17,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,NA,NA,United States
18,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.03819,10.50488,Costa Rica
19,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-83.59405,10.53209,Costa Rica
20,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-87.12,13.02,Honduras
21,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-83.8679,11.0535,Nicaragua
22,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-86.95,14.17,Honduras
23,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-82.33168,9.35416,Panama
24,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-82.31627,9.31119,Panama
25,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-83.43086,10.27438,Costa Rica
26,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-82.32161,9.3747,Panama
27,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,NA,NA,Honduras
28,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-87.63044,13.2975,Honduras
29,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-87.63044,13.2975,Honduras
30,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-87.67328,13.32411,Honduras
31,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-87.7083,13.3317,Honduras
32,Rhinoclemmys nasuta,"Rhinoclemmys nasuta Boulenger, 1902",Rhinoclemmys,-77.01697,5.60512,Colombia
33,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,-77.01697,5.60512,Colombia
34,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.23,15.35,Honduras
35,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-87.67,13.32,Honduras
36,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-83.55262,10.54099,Costa Rica
37,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-86.4911,13.9831,Honduras
38,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.37,15.18,Honduras
39,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,-84.42,15.13,Honduras
40,Rhinoclemmys,"Rhinoclemys Gray, 1863",Rhinoclemmys,-74.2581,6.7386,Colombia
41,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.48,14.78,Honduras
42,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.45,14.7169,Honduras
43,Rhinoclemmys punctularia,"Rhinoclemmys punctularia Daudin, 1801",Rhinoclemmys,NA,NA,United States
44,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,-84.6572,14.8894,Honduras
45,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.6572,14.8894,Honduras
46,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,-84.42,15.13,Honduras
47,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.43,15.1,Honduras
48,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,-84.45,14.78,Honduras
49,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.67,14.9,Honduras
50,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,-84.6911,14.9222,Honduras
51,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,NA,NA,Nicaragua
52,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,NA,NA,Nicaragua
53,Rhinoclemmys punctularia,"Rhinoclemmys punctularia Daudin, 1801",Rhinoclemmys,-89.14227,14.8427,Honduras
54,Rhinoclemmys punctularia,"Rhinoclemmys punctularia Daudin, 1801",Rhinoclemmys,NA,NA,Guyana
55,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.47,14.78,Honduras
56,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.6911,14.9222,Honduras
57,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,NA,NA,Honduras
58,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,-84.5169,14.9481,Honduras
59,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,NA,NA,United States
60,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,NA,NA,Honduras
61,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.6742,14.9428,Honduras
62,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,NA,NA,Honduras
63,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.66558,14.94775,Honduras
64,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,-84.6728,14.9039,Honduras
65,Rhinoclemmys punctularia,"Rhinoclemmys punctularia Daudin, 1801",Rhinoclemmys,-54.589,4.82,Suriname
66,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.68,14.97,Honduras
67,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.68,14.97,Honduras
68,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,-84.68,14.97,Honduras
69,Rhinoclemmys funerea,"Rhinoclemmys funerea Cope, 1876",Rhinoclemmys,NA,NA,Honduras
70,Rhinoclemmys punctularia,"Rhinoclemmys punctularia Daudin, 1801",Rhinoclemmys,NA,NA,Suriname
71,Rhinoclemmys punctularia,"Rhinoclemmys punctularia Daudin, 1801",Rhinoclemmys,NA,NA,Suriname
72,Rhinoclemmys areolata,"Rhinoclemmys areolata Dum<U+00E9>ril, Bibron & Dum<U+00E9>ril, 1851",Rhinoclemmys,-88.228,19.289,Mexico
73,Rhinoclemmys annulata,"Rhinoclemmys annulata Gray, 1860",Rhinoclemmys,-84.6911,14.9222,Honduras
74,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-86.95,15.38,Honduras
75,Rhinoclemmys pulcherrima,"Rhinoclemmys pulcherrima Gray, 1855",Rhinoclemmys,-86.92,15.42,Honduras
76,Rhinoclemmys areolata,"Rhinoclemmys areolata Dum<U+00E9>ril, Bibron & Dum<U+00E9>ril, 1851",Rhinoclemmys,-88.054,19.869,Mexico
77,Rhinoclemmys melanosterna,"Rhinoclemmys melanosterna Gray, 1861",Rhinoclemmys,NA,NA,Colombia
78,Rhinoclemmys melanosterna,"Rhinoclemmys melanosterna Gray, 1861",Rhinoclemmys,NA,NA,Colombia
79,Rhinoclemmys melanosterna,"Rhinoclemmys melanosterna Gray, 1861",Rhinoclemmys,NA,NA,Colombia
80,Rhinoclemmys melanosterna,"Rhinoclemmys melanosterna Gray, 1861",Rhinoclemmys,NA,NA,Colombia
81,Rhinoclemmys melanosterna,"Rhinoclemmys melanosterna Gray, 1861",Rhinoclemmys,NA,NA,Colombia
82,Rhinoclemmys melanosterna,"Rhinoclemmys melanosterna Gray, 1861",Rhinoclemmys,NA,NA,Colombia
83,Rhinoclemmys nasuta,"Rhinoclemmys nasuta Boulenger, 1902",Rhinoclemmys,NA,NA,Colombia
84,Rhinoclemmys melanosterna,"Rhinoclemmys melanosterna Gray, 1861",Rhinoclemmys,NA,NA,Colombia
