,name,scientificName,genus,decimalLongitude,decimalLatitude,country
1,Lepidochelys kempii,"Lepidochelys kempii Garman, 1880",Lepidochelys,-97.81423,22.27931,Mexico
2,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,72.8392,3.46831,Maldives
3,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,72.9122,3.94229,Maldives
4,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,72.8933,4.01059,Maldives
5,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-110.08673,22.99974,Mexico
6,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,1.8336,6.2836,Benin
7,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,124.763,1.59675,Indonesia
8,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-106.42542,23.20705,Mexico
9,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
10,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
11,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
12,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
13,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
14,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
15,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
16,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
17,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
18,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
19,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
20,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.16667,2.93333,Colombia
21,Lepidochelys kempii,"Lepidochelys kempii Garman, 1880",Lepidochelys,NA,NA,United States
22,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,72.8691,4.09572,Maldives
23,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,73.4736,3.90888,Maldives
24,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,73.4627,5.55256,Maldives
25,Lepidochelys kempii,"Lepidochelys kempii Garman, 1880",Lepidochelys,-97.30731,27.4824,United States
26,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,73.4865,4.21571,Maldives
27,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,72.8392,3.46831,Maldives
28,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,NA,NA,United States
29,Lepidochelys kempii,"Lepidochelys kempii Garman, 1880",Lepidochelys,-85.32225,29.96103,United States
30,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,123.271,9.07972,Philippines
31,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-109.47084,23.50876,Mexico
32,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,72.9122,3.94229,Maldives
33,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,72.8119,4.18173,Maldives
34,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,135.83433,-11.91617,Australia
35,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-14.7168,1.96681,NA
36,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,138.483,-34.816,Australia
37,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.2166,2.92975,Colombia
38,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.2221,2.93301,Colombia
39,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-78.2228,2.93807,Colombia
40,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-61.3439,15.8772,France
41,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,73.45,5.55,Maldives
42,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-87.9553,17.9129,Belize
43,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-105.35059,20.90978,Mexico
44,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-105.50468,20.90934,Mexico
45,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,73.2207,3.20278,Maldives
46,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-105.36455,20.59558,Mexico
47,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,0.63347,2.41681,Ghana
48,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-5.05014,-2.40014,NA
49,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-5.05014,-2.40014,NA
50,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,72.9955,5.1751,Maldives
51,Lepidochelys kempii,"Lepidochelys kempii Garman, 1880",Lepidochelys,-3.50153,51.39596,United Kingdom
52,Lepidochelys kempii,"Lepidochelys kempii Garman, 1880",Lepidochelys,-4.19788,52.27083,United Kingdom
53,Lepidochelys kempii,"Lepidochelys kempii Garman, 1880",Lepidochelys,-6.83825,56.49062,United Kingdom
54,Lepidochelys kempii,"Lepidochelys kempii Garman, 1880",Lepidochelys,-87.0184,20.3076,Mexico
55,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,34.7765,25.3474,Egypt
56,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,73.0368,3.21529,Maldives
57,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,73.0368,3.21529,Maldives
58,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-4.75014,-1.58347,NA
59,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,86.54,20.47,India
60,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,86.54,20.47,India
61,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,8.40014,-2.21681,Gabon
62,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,9.16681,-3.98347,Gabon
63,Lepidochelys kempii,"Lepidochelys kempii Garman, 1880",Lepidochelys,-97.34001,27.4052,United States
64,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-77.4078,6.2192,Colombia
65,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-77.4078,6.2192,Colombia
66,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-77.4078,6.2192,Colombia
67,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-77.4078,6.2192,Colombia
68,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-77.4078,6.2192,Colombia
69,Lepidochelys olivacea,"Lepidochelys olivacea Eschscholtz, 1829",Lepidochelys,-77.4078,6.2192,Colombia
